ASSET	HOUSE	            ASSETVAL	                dist
   78	    3	   2.500480000000000	   0.000320024557221
   78	    4	   2.050560000000000	   0.000000000000000
   78	    5	   1.600640000000000	   0.000000000000000
   78	    6	  -3.798400000000001	   0.000867558505140
   79	    0	   5.266666666666667	   0.000000000000000
   79	    1	   3.475093333333334	   0.000000000000000
   79	    2	   3.027200000000000	   0.000014188949668
   79	    3	   2.579306666666667	   0.000300990816945
   79	    4	   2.131413333333334	   0.000000000000000
   79	    5	   1.683520000000000	   0.000000000000000
   79	    6	  -3.691200000000000	   0.000819065409211
   80	    0	   5.333333333333333	   0.000000000000000
   80	    1	   3.549866666666667	   0.000000000000000
   80	    2	   3.103999999999999	   0.000003965530083
   80	    3	   2.658133333333333	   0.000290212765938
